Listing ID,Title,Description,Price,Sq Ft Price,Summary
cardid74028165,3 BHK Villa for Sale in Ottiambakkam Chennai,"Live a life presented with the best of amenities - greener landscapes, cleverer designing, superior connectivity, or a refined lifestyle, only at Jones Cassia 2. A life that many long for, but only a lucky few will experience. All villas in this residential township are designed to indulge you in the most authentic luxury living. The well-constructed layout, airy spaces, enclosed terraces, and balconies make sure that there's an abundance of fresh air and natural light to brighten up your life.",₹ 1.27 Cr,"₹6,900 per sqft",SUPER AREA 1843 sqft STATUS Ready to Move TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3
cardid72316429,2 BHK Apartment for Sale in Tondiarpet Chennai,"KG North Bay consists of two elegant residential towers: OCEAN VISTA - Tower - A, OCEAN VIEW - Tower - B All Apartments have both Sea view and panoramic city views. Built tastefully in a contemporary style. KG North Bay is a sophisticated ocean-side residential marvel with a selection of 93 apartments. The luxurious 2 , 3 & 4 BHK apartments and spacious penthouses are all with spectacular sea views, spread across 13 floors. Both blocks are connected by a grand open podium with a swimming pool and extensive breathing space around.",₹ 78.9 Lac,"₹6,199 per sqft",SUPER AREA 1272 sqft UNDER CONSTRUCTION Poss. by Dec '26 TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Covered BATHROOM 2
cardid74126529,2 BHK Apartment for Sale in Paruthippattu Chennai,"Introducing the Newry Astor - your gateway to luxurious living! A premium apartment that offers a range of configurations to suit your needs. Choose from our 2 BHK, 2.5 BHK and 3 BHK options, each meticulously designed to provide you with the highest levels of comfort. With the amenities that are curated for your convenience, it doesn't get better than this. With a total of 44 flats of the Newry Astor provide you the perfect balance of harmony and comfort. Dive into an exceptional life at the Newry Astor!",₹ 54.8 Lac,"₹5,499 per sqft",CARPET AREA 668 sqft UNDER CONSTRUCTION Poss. by Oct '25 TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Covered BATHROOM 2
cardid71959151,3 BHK Apartment for Sale in Perungudi Chennai,"THE ACE situated in IT gateway of Chennai OMR (Perungudi) is a business realm with the rapid urbanization of infrastructure development that is maximizing the amount of residential, IT & ITES business and leisure space within walking distance of public transport. The Ace is spread over 4.27 Acres of Land parcel with 557 units of 1, 2 & 3 BHK ranging from 600-1766 Sq.ft, Galvanized with 5 levels enchanting landscape, 20 plus world-class amenities and 11 smart intelligent systems. The project is being developed using SSGF technology which is the term coined with the first letters of the word - SUSTAINABLE, SAFE & SHARE, GREEN, FINE & FAST, respectively.",₹ 1.65 Cr,"₹9,576 per sqft",SUPER AREA 1723 sqft UNDER CONSTRUCTION Poss. by Aug '24 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3
cardid73767909,3 BHK Apartment for Sale in Adambakkam Chennai,"Malar Iris is a residential project in ADAMBAKKAM, Chennai. MALAR IRIS offers Apartment. Available configurations include 2BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 1000 - 1385 sqft. The property is Under Construction. There are 6 units for sale.",₹ 1.29 Cr,"₹9,900 per sqft",SUPER AREA 1306 sqft UNDER CONSTRUCTION Poss. by Oct '24 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3
cardid71820423,3 BHK Apartment for Sale in Perambur Chennai,"Rainbow Chetna - a Premier Residential development is the newest addition in North Town. Nestled in the North-East Corner of North Town, Rainbow Chetna offers Vaastu compliant 2 & 3 BHK Apartments to suit each individual needs with customizable apartments. Rainbow Chetna at North Town is a notch above the rest in the vicinity.",₹ 1.07 Cr,"₹7,997 per sqft",SUPER AREA 1338 sqft UNDER CONSTRUCTION Poss. by Nov '24 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3
cardid73553015,4 BHK Apartment for Sale in T Nagar Chennai,"An Iconic Home In An Iconic Neighbourhood! Marvellous is strategically well connected to the city. Located on Chevalier Sivaji Ganesan Road (Formally South Boag Road), T.Nagar, Chennai. It is easily a landmark of grandeur. sprinkled with sprawling tree-lined avenues, it is a luxurious blend of commercial, entertainment hubs and residential areas. Experience the pride of owning a home at Marvellous, the epitome of luxury and the envy of others.",₹ 5.51 Cr,"₹18,500 per sqft",SUPER AREA 2982 sqft UNDER CONSTRUCTION Poss. by Dec '25 TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Covered BATHROOM 4
cardid74127821,1 BHK Apartment for Sale in Thirumullaivoyal Chennai,"Premium lifestyle apartments at Thirumullaivoyal Behind All India Radio, 400meters from CTH Road.",₹ 27.7 Lac,"₹4,799 per sqft",SUPER AREA 578 sqft UNDER CONSTRUCTION Poss. by Dec '25 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 1
cardid72561255,1 BHK Apartment for Sale in Medavakkam Chennai,"Aishwaryam Majestica is a well-planned project that is ideally positioned in Medavakkam, Chennai. This project has its expanse over an area of 4 Acre. The project features a total of 347 units that are well-ventilated.",₹ 23 Lac,"₹6,069 per sqft",CARPET AREA 273 sqft STATUS Ready to Move FLOOR 1 out of 4 TRANSACTION New Property FURNISHING Semi-Furnished BATHROOM 1
cardid73554597,2 BHK Apartment for Sale in Velachery Chennai,"Its not every day that a star is born! We are proud to present Kochar Jewel, the crowning glory of Kochar Homes. Nestled in the vibrant heart of Chennai at Velachery, Kochar Jewel is a fine tribute to elegance and contemporary architecture. Expect sleek designs, premium finishes, and breathtaking views of the city skyline. Perfect for doctors & IT professionals.",₹ 2.33 Cr,"₹15,193 per sqft",SUPER AREA 1540 sqft UNDER CONSTRUCTION Poss. by Dec '25 TRANSACTION New Property
