listing_id,city,neighbourhood,property_type,total_sqft,no_of_rooms,furnish,sale_type,status,price,price (in 'k'),price_per_sqft
72519961,Chennai,Panaiyur,Villa,2066,4 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.70 Cr,27000,13069
73310005,Chennai,Rajakilpakkam,Apartment,877,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 67.2 Lac,6720,5500
72698501,Chennai,Pallikaranai,Apartment,984,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 90 Lac,9000,7503
71835911,Chennai,Hills,Plot/Land,900,n/a,n/a,n/a,n/a,₹ 28.2 Lac,2820,3132
74067179,Chennai,Karapakkam,Apartment,1089,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 81.6 Lac,8159,7495
74217569,Chennai,Medavakkam,Apartment,989,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 78.7 Lac,7870,7962
73274893,Chennai,Medavakkam,Apartment,1471,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 92.7 Lac,9270,6300
72553289,Chennai,Pudupakkam,Plot/Land,750,n/a,n/a,n/a,n/a,₹ 37.5 Lac,3750,4999
73558369,Chennai,Ayapakkam,Apartment,890,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 42.7 Lac,4270,4800
69084305,Chennai,Kovur,Plot/Land,805,n/a,n/a,n/a,n/a,₹ 39.4 Lac,3940,4894
71802277,Chennai,Road,Plot/Land,900,n/a,n/a,n/a,n/a,₹ 40.5 Lac,4050,4500
73862461,Chennai,Sholinganallur,Apartment,1200,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.10 Cr,11000,7300
66942651,Chennai,Oragadam,Plot/Land,1500,n/a,n/a,n/a,n/a,₹ 52.5 Lac,5250,3500
71401177,Chennai,Estate,Villa,2057,5 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.60 Cr,16000,7778
73301057,Chennai,Pallavaram,Apartment,1180,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 85 Lac,8500,7200
60816467,Chennai,Thaiyur,Plot/Land,956,n/a,n/a,n/a,n/a,₹ 25.3 Lac,2530,2650
71707939,Chennai,Nemmeli,Plot/Land,4000,n/a,n/a,n/a,n/a,₹ 89 Lac,8900,2225
71438851,Chennai,Kundrathur,Plot/Land,1000,n/a,n/a,n/a,n/a,₹ 40 Lac,4000,4000
72810719,Chennai,Perungalathur,Plot/Land,28800,n/a,n/a,n/a,n/a,₹ 2.08 Cr,20800,722
36803773,Chennai,Valarpuram,Plot/Land,1650,n/a,n/a,n/a,n/a,₹ 20 Lac,2000,1212
71532129,Chennai,Siruseri,Plot/Land,900,n/a,n/a,n/a,n/a,₹ 34.2 Lac,3420,3800
71883573,Chennai,nagar,Plot/Land,880,n/a,n/a,n/a,n/a,₹ 17.6 Lac,1760,1999
71860465,Chennai,Malayambakkam,Plot/Land,684,n/a,n/a,n/a,n/a,₹ 31.8 Lac,3180,4646
71534135,Chennai,Urapakkam,Plot/Land,4000,n/a,n/a,n/a,n/a,₹ 1.52 Cr,15200,3800
67618067,Chennai,Tharapakkam,Plot/Land,632,n/a,n/a,n/a,n/a,₹ 24.5 Lac,2450,3877
71892179,Chennai,Nagar,Plot/Land,2040,n/a,n/a,n/a,n/a,₹ 40 Lac,4000,1961
73195429,Chennai,Road,Plot/Land,2006,n/a,n/a,n/a,n/a,₹ 50 Lac,5000,2493
73597011,Chennai,Alinjivakkam,Plot/Land,986,n/a,n/a,n/a,n/a,₹ 28.6 Lac,2860,2900
73398669,Chennai,Ponmar,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 51 Lac,5100,4250
72917097,Chennai,Kandigai,Plot/Land,987,n/a,n/a,n/a,n/a,₹ 41.5 Lac,4150,4200
72846069,Chennai,Urapakkam,Plot/Land,1800,n/a,n/a,n/a,n/a,₹ 60 Lac,6000,3333
73335229,Chennai,Tambaram,Plot/Land,1000,n/a,n/a,n/a,n/a,₹ 39 Lac,3900,3900
